index,U_i,d_i,d_i_squared
1,0.3512,5.1600e-04,2.6626e-07
2,0.3506,-8.4000e-05,7.0560e-09
3,0.3513,6.1600e-04,3.7946e-07
4,0.3513,6.1600e-04,3.7946e-07
5,0.3510,3.1600e-04,9.9856e-08
6,0.3502,-4.8400e-04,2.3426e-07
7,0.3500,-6.8400e-04,4.6786e-07
8,0.3501,-5.8400e-04,3.4106e-07
9,0.3500,-6.8400e-04,4.6786e-07
10,0.3503,-3.8400e-04,1.4746e-07
46,0.3501,-5.8400e-04,3.4106e-07
47,0.3514,7.1600e-04,5.1266e-07
48,0.3513,6.1600e-04,3.7946e-07
49,0.3502,-4.8400e-04,2.3426e-07
50,0.3504,-2.8400e-04,8.0656e-08
