Результаты обработки результатов измерений
------------------------------------------

Номер п.п. | U_i (В)    | d_i (В)     | d_i^2 (В^2)
-----------|------------|-------------|-------------
          1 |     0.3512 |    0.000468 | 0.0000002190
          2 |     0.3506 |   -0.000132 | 0.0000000174
          3 |     0.3513 |    0.000568 | 0.0000003226
          4 |     0.3513 |    0.000568 | 0.0000003226
          5 |     0.3510 |    0.000268 | 0.0000000718
          6 |     0.3502 |   -0.000532 | 0.0000002830
          7 |     0.3500 |   -0.000732 | 0.0000005358
          8 |     0.3501 |   -0.000632 | 0.0000003994
          9 |     0.3500 |   -0.000732 | 0.0000005358
         10 |     0.3503 |   -0.000432 | 0.0000001866
         11 |     0.3503 |   -0.000432 | 0.0000001866
         12 |     0.3504 |   -0.000332 | 0.0000001102
         13 |     0.3504 |    0.000068 | 0.0000000046
         14 |     0.3509 |    0.000168 | 0.0000000282
         15 |     0.3506 |   -0.000232 | 0.0000000538
         16 |     0.3505 |   -0.000232 | 0.0000000538
         17 |     0.3507 |   -0.000032 | 0.0000000010
         18 |     0.3508 |    0.000068 | 0.0000000046
         19 |     0.3512 |    0.000468 | 0.0000002190
         20 |     0.3509 |    0.000168 | 0.0000000282
         21 |     0.3510 |    0.000268 | 0.0000000718
         22 |     0.3509 |    0.000168 | 0.0000000282
         23 |     0.3510 |    0.000268 | 0.0000000718
         24 |     0.3512 |    0.000468 | 0.0000002190
         25 |     0.3512 |    0.001368 | 0.0000018714
         26 |     0.3516 |    0.000868 | 0.0000007534
         27 |     0.3512 |    0.000568 | 0.0000003226
         28 |     0.3510 |    0.000268 | 0.0000000718
         29 |     0.3509 |    0.000168 | 0.0000000282
         30 |     0.3511 |    0.000368 | 0.0000001354
         31 |     0.3500 |    0.000268 | 0.0000000718
         32 |     0.3501 |   -0.000632 | 0.0000003994
         33 |     0.3501 |   -0.000532 | 0.0000002830
         34 |     0.3500 |   -0.000732 | 0.0000005358
         35 |     0.3504 |   -0.000332 | 0.0000001102
         36 |     0.3501 |   -0.000632 | 0.0000003994
         37 |     0.3502 |   -0.000532 | 0.0000002830
         38 |     0.3500 |   -0.000732 | 0.0000005358
         39 |     0.3511 |    0.000368 | 0.0000001354
         40 |     0.3514 |    0.000668 | 0.0000004462
         41 |     0.3513 |    0.000568 | 0.0000003226
         42 |     0.3511 |    0.000368 | 0.0000001354
         43 |     0.3513 |    0.000568 | 0.0000003226
         44 |     0.3500 |   -0.000732 | 0.0000005358
         45 |     0.3499 |   -0.000832 | 0.0000006922
         46 |     0.3501 |   -0.000632 | 0.0000003994
         47 |     0.3514 |    0.000668 | 0.0000004462
         48 |     0.3513 |    0.000568 | 0.0000003226
         49 |     0.3502 |   -0.000532 | 0.0000002830
         50 |     0.3504 |   -0.000332 | 0.0000001102
